           X      Y              DY
10.24625    38.43000    0.195012    
10.69426    38.44000    0.195044    
11.12424    38.65000    0.214113
11.45662    36.68000    0.530000 
11.53823    38.28000    0.158258 
11.77915    37.60000    1.115950 
13.62579    37.60000    1.115950 
13.76312    38.70000    1.742963 
13.76312    38.46000    0.158955 
13.76312    38.39000    0.201109 
13.89879    38.90000    0.800000 
15.06496    38.58000    0.159420 
15.18878    37.60000    1.115950 
16.66171    37.60000    1.115950 
16.66188    38.47000    0.580000 
16.82997    38.69000    0.159846 
16.82997    38.62000    0.202207 
17.91028    38.83000    0.160388 
18.01462    37.40000    1.115782 
18.17033    39.60000    1.619056 
19.22403    38.50000    1.215342 
19.41839    38.98000    0.160969 
19.41839    38.90000    0.203544 
19.65849    39.00000    1.000000 
21.26346    39.24000    0.161977 
22.96075    39.42000    0.162675 
23.50003    39.65000    0.233856 
23.50003    39.40000    0.300000 
23.50003    39.13000    0.396890 
23.50003    38.80000    0.250000 
23.50003    38.90000    0.700000 
23.60003    38.70000    0.700000 
23.76398    39.21000    0.920000 
23.76398    40.68000    0.550000 
23.88214    39.00000    1.000000 
24.15558    39.59000    0.169346 
25.29404    39.69000    0.173507 
26.38341    39.77000    0.170019 
27.60006    40.60000    1.200000 
30.60004    40.22000    0.213266 
30.60004    40.11000    0.187977 
30.60004    39.91000    0.407727 
30.60004    40.07000    0.240000 
30.60004    40.20000    0.800000 
30.60025    40.10000    0.400000 
30.70004    40.10000    0.200000 
30.80004    40.00000    0.600000 
35.20005    40.42000    0.619901 
44.69933    41.70000    0.400000 
44.70006    41.90000    0.240000 
44.90006    41.89000    0.406905 
45.20006    42.50000    0.800000 
52.80006    43.01000    0.263814 
52.80006    42.38000    0.172291 
52.80006    42.10000    0.200000 
52.80006    42.85000    0.418331 
52.80006    42.71000    0.350000 
52.89968    42.40000    0.400000 
53.20007    42.90000    0.700000 
62.30008    43.55000    0.322004 
62.40114    43.10000    0.400000 
62.50008    44.00000    0.446426 
62.70008    43.82000    0.317655 
62.70008    42.96000    0.380000 
62.80008    44.10000    0.900000 
63.00008    42.20000    3.500000
200.0000    51.81000    2.000000
7000.000    99.10000    4.300000
7000.000    98.00000    2.500000
7000.000    98.60000    2.200000
7000.000    98.30000    2.800000
8000.000    101.5000    2.100000
8000.000    101.9000    2.100000
8000.000    103.0000    2.300000
8000.000    102.9000    2.300000
8000.000    101.7000    2.900000
13000.00    110.6000    3.400000
13000.00    109.5000    3.400000
13000.00    110.3000    3.500000
      X      Y              DY
11.53823    43.05000    0.182354     
13.76312    40.40000    1.705563 
13.76312    42.12000    0.186509 
13.76312    42.04000    0.228657 
13.86500    42.33000    0.140000 
15.06496    41.70000    0.224326 
16.82997    41.79000    0.238417 
16.82997    41.72000    0.275525 
17.91028    41.69000    0.224297 
18.17033    41.20000    2.101832 
19.41839    41.51000    0.223762 
19.41839    41.54000    0.356706 
21.26346    41.90000    0.260940 
22.96075    41.91000    0.268707 
30.40004    42.13000    0.576194 
30.60004    42.80000    0.354132 
52.60006    43.32000    0.342749 
52.80006    44.71000    0.456491 
62.30008    44.12000    0.399858 
62.70008    45.14000    0.367426 
540.0000    66.80000    6.476850 
540.0000    66.00000    7.738863 
541.0000    63.00000    2.100000 
546.0000    61.26000    0.930000 
547.0000    61.90000    1.622702 
900.0000    65.30000    1.657000
1800.000    71.71000    2.020000
1800.000    80.03000    2.240000   
1800.000    72.80000    3.100000 
1800.000    71.42000    2.410000
      X        Y              DY
10.28099   -0.154000    3.60194e-02     
10.64149   -0.122000    3.44581e-02
11.52521   -0.106000    3.40522e-02
11.53823   -0.115000    1.52906e-02
11.53823   -0.104000    6.50000e-02
12.32413   -9.60e-02     1.34697e-02
12.62538   -0.121600    2.84114e-02
12.62538   -0.119400    2.87125e-02
13.34168   -9.80e-02    1.89760e-02
13.76312   -9.20e-02    1.40000e-02
13.76312   -7.40e-02    1.74763e-02
13.89879   -0.102900    2.78700e-02
13.96613   -9.87e-02    2.86860e-02
13.96613   -0.102400    2.76887e-02
15.37320   -2.40e-02    1.39428e-02
16.52273   -6.40e-02    1.77955e-02
16.82997   -4.00e-02    1.40000e-02
16.82997    8.00e-03    1.16619e-02
17.53974   -4.80e-02    2.86116e-02
18.13838   -3.90e-02    1.90691e-02
18.17033   -1.10e-02    1.84000e-02
18.68156   -3.80e-02    2.03871e-02
19.36990   -3.40e-02    1.26153e-02
19.41839    1.90e-02    1.66056e-02
19.84849   -2.47e-02    2.82438e-02
20.12464   -2.00e-02    1.92094e-02
20.81753   -1.76e-02    2.82275e-02
21.42431   -1.30e-02    1.79862e-02
21.70024   -4.10e-02    1.40000e-02
22.17068   -9.00e-03    1.27279e-02
22.49447    2.20e-02    2.11849e-02
23.00158    1.18e-02    2.81700e-02
23.20464    9.90e-03    2.81870e-02
23.50003    2.20e-02    1.41424e-02
23.50003    2.00e-02    5.00000e-02
23.76398   -2.80e-02    1.60000e-02
23.88208   -1.10e-02    1.20566e-02
24.30003    9.00e-03    1.16774e-02
25.61253    2.50e-02    2.12132e-02
27.18459    3.90e-02    1.90691e-02
27.36102    1.20e-02    1.27279e-02
30.60000    3.00e-02    6.00000e-02
30.60000    3.40e-02    8.06053e-03
30.60000    4.20e-02    1.86980e-02
44.70000    6.20e-02    1.85044e-02
52.80000    7.70e-02    9.21998e-03
52.90000    7.80e-02    1.78783e-02
62.40000    9.50e-02    1.87627e-02
7000.000    0.145000    0.09100000
8000.000    0.120000    0.03000000
13000.00    0.100000    0.01000000
13000.00    0.090000    0.01000000 
       X      Y              DY
11.53823    10.0e-03    1.8027800e-02        
15.37320    1.20e-02    1.9924859e-02
16.82997   -1.00e-03    2.7459061e-02
18.17033    6.70e-02    3.8586136e-02
19.41839    2.90e-02    3.0090537e-02
22.63148   -1.40e-02    5.6806695e-02
24.30003    4.80e-02    1.2646643e-02
30.40004    5.50e-02    2.8999999e-02
52.60006    0.106000    1.6272955e-02
541.0050    0.135000    1.4967729e-02
1800.000    0.140000    6.9e-02
1800.000    0.132000    0.05600
      X      Y              DY
0.00818   437.50   19.74361   
0.00995   411.00   18.00500
0.01170   402.30   17.54138
0.01350   384.50   16.70359
0.01540   378.00   16.37681
0.01720   360.30   15.57081
0.01910   348.10   15.06154
0.02100   337.00   14.55232
0.02290   325.00   14.04315
0.02480   307.90   13.23707
0.02680   296.70   12.82692
0.02870   285.90   12.33207
0.03070   275.30   11.82286
0.03280   263.00   11.31371
0.03480   252.00   10.81896
0.03690   242.80   10.40865
0.03900   231.60   9.914131
0.04110   222.20   9.503683
0.04330   210.90   9.009439
0.04550   204.80   8.796590
0.04770   197.20   8.401190
0.04990   187.50   8.006248
0.05220   178.10   7.595393
0.05450   168.80   7.200694
0.05690   162.50   6.888396
0.05920   155.50   6.592420
0.06160   149.40   6.395311
0.06410   140.20   5.984146
0.06660   135.10   5.785335
0.06910   129.00   5.533905
0.07160   120.53   5.180550
0.07420   115.10   4.960494
0.07690   109.63   4.728858
0.07950   104.97   4.536574
0.08230   100.22   4.344295
0.08500   93.180   4.042091
0.08780   89.160   3.881198
0.09070   81.780   3.569314
0.09360   78.850   3.447724
0.09660   73.920   3.235954
0.09960   68.770   3.024235
    X        Y              DY
0.008628   454.1300   19.4861   
0.011830   424.9000   18.1647
0.015760   398.4900   16.7276
0.020190   363.3300   15.2959
0.025170   327.0300   13.8677
0.028500   305.0900   12.8608
0.030770   293.8800   12.3471
0.031640   287.9500   12.0895
0.034910   269.2400   11.3284
0.037090   257.8600   10.9284
0.038310   251.3100   10.5976
0.041840   235.1500   9.88097
0.044190   225.3500   9.45810
0.045510   218.3200   9.19140
0.049330   202.6400   8.52693
0.052200   193.6900   8.09339
0.053300   187.1000   7.88752
0.057430   173.0600   7.27516
0.061210   158.4800   6.79327
0.061730   158.7700   6.68986
0.066200   144.9300   6.13154
0.070850   133.1200   5.60128
0.070980   130.7800   5.64050
0.075680   121.2400   5.10004
0.080710   109.7700   4.62682
0.080980   107.8000   4.67390
0.085930   99.07700   4.18262
0.090980   89.71000   3.87594
0.091370   89.12600   3.76544
0.097020   79.95100   3.37724
      X      Y              DY
0.006498   554.64500   30.76870   
0.006984   551.68200   30.46070
0.007488   547.23200   30.14480
0.008012   543.79800   29.82040
0.008556   534.39100   29.48720
0.009120   527.70600   29.14700
0.009703   523.04000   28.80040
0.010303   514.66700   28.44570
0.010922   507.67300   28.08500
0.011562   501.64500   27.71660
0.012221   498.09500   27.34200
0.012898   487.16400   26.96160
0.013594   482.15500   26.57690
0.014311   475.60800   26.18600
0.015047   465.61900   25.78900
0.015803   460.38600   25.38770
0.016577   455.27900   24.98460
0.017370   447.96000   24.57720
0.018183   437.46600   24.16420
0.019020   430.34200   23.74900
0.019874   423.16700   23.33090
0.020748   414.87800   22.91280
0.021638   406.15800   22.49370
0.022547   400.65200   22.07280
0.023475   393.12400   21.65200
0.024421   384.73600   21.22990
0.025389   376.24300   20.80780
0.026377   372.18900   20.38530
0.027385   362.93000   19.96320
0.028413   357.12600   19.54270
0.029460   348.34500   19.12280
0.030528   339.83000   18.70390
0.031615   333.02500   18.28740
0.032720   323.44200   17.87240
0.033846   316.76900   17.46090
0.034989   309.51400   17.05240
0.036154   300.60900   16.64650
0.037335   295.11400   16.24530
0.038400   291.00500   23.23120
0.038533   288.37500   15.84880
0.039752   280.80700   15.45400
0.040040   280.10200   17.10140
0.040990   271.50800   15.06330
0.041680   270.25300   13.45160
0.042251   266.13300   14.67700
0.043320   260.68200   10.17190
0.043531   258.86200   14.29540
0.044830   253.71900   13.91810
0.044960   251.98000   8.042270
0.046149   245.39400   13.54460
0.046610   243.14400   6.232690
0.047489   238.90600   13.17610
0.048250   234.99700   5.103070
0.048844   232.19500   12.81380
0.049900   227.24300   4.353360
0.050221   226.19100   12.45730
0.051550   219.54900   3.653730
0.051619   220.65500   12.10510
0.053031   212.49300   11.75840
0.053200   212.26500   3.084100
0.054470   207.17100   11.41710
0.054860   205.12300   2.554650
